stock_code,stockId,name,market
00320,12370,COMPUTIME,SEHK
02500,1000016501,VENUS MEDTECH-B,SEHK
02501,1000203640,MAIYUE TECH,SEHK
02502,1000210398,JINYUAN HCHEM,SEHK
02503,1000211552,ZHONGSHENJIANYE,SEHK
02505,1000222155,EDA GROUP HLDGS,SEHK
02506,1000243517,XUNFEIHEALTH,SEHK
02507,1000227110,CIRRUS,SEHK
02508,1000263242,SAINT BELLA,SEHK
02509,1000213407,QYUNS-B,SEHK
25001,1000223013,MB-BOCL@EC2601A,SEHK
00280,491,KING FOOK HOLD,SEHK
02800,4649,TRACKER FUND,SEHK
02801,4650,ISHARES CHINA,SEHK
02803,164516,PP BEDROCK,SEHK
02804,1000003136,PREMIA VIET,SEHK
02806,1000020901,GX CN CONSUME,SEHK
02807,1000051819,GX CN ROBO&AI,SEHK
02809,1000020902,GX CN CLN EN,SEHK
28010,1000277239,CTHUAHO@EC2604A,SEHK
28066,1000277289,CT-SMIC@EC2608A,SEHK
03003,1000128818,CSOP MSCI A 50,SEHK
03004,1000163163,CSOP VIETNAM30,SEHK
03005,1000028357,X CSOPCSI500,SEHK
03006,1000145059,A GX AI TECH,SEHK
03007,26655,TR MSCI CHINA A,SEHK
03008,1000221537,BOS HSK BTC,SEHK
03009,1000221538,BOS HSK ETH,SEHK
00340,624,TONGGUAN GOLD,SEHK
03401,1000245614,GX AI INFRA,SEHK
03402,1000243803,GX G2TECH,SEHK
03403,1000170371,CAM HSI ESG,SEHK
03404,1000233149,CAM MSCIINDIA,SEHK
03405,1000188775,FB ASIA EGY STR,SEHK
03406,1000271122,PA TECHSELECT,SEHK
00330,595,ESPRIT HOLDINGS,SEHK
03300,9177,CHINA GLASS,SEHK
03301,135652,RONSHINECHINA,SEHK
03302,191124,KINERGY,SEHK
03303,12135,JUTAL OIL SER,SEHK
03306,147079,JNBY,SEHK
03309,171498,C-MER MEDICAL,SEHK
00360,8654,NEW FOCUS AUTO,SEHK
03600,134494,MODERN DENTAL,SEHK
03601,1000001763,LUDASHI,SEHK
03603,1000012766,XINJI SHAXI,SEHK
03606,120895,FUYAO GLASS,SEHK
03660,1000176086,QFIN-S,SEHK
00390,19916,CHINA RAILWAY,SEHK
03900,11833,GREENTOWN CHINA,SEHK
03903,102814,HANHUA FIN,SEHK
03908,132638,CICC,SEHK
00410,18165,SOHO CHINA,SEHK
04100,1000231387,EFN 2.77 2608,SEHK
04101,1000241605,EFN 3.19 2611,SEHK
04104,1000249963,EFN 3.34 2702,SEHK
04105,1000261334,EFN 2.16 2705,SEHK
04106,1000270551,EFN 1.85 2708,SEHK
04107,1000283337,EFN 2.40 2711,SEHK
00450,899,HUNG HING PRINT,SEHK
04501,1000141181,MIDEA INV N2702,SEHK
04502,55651,SINOCHEM N4011,SEHK
04504,1000141372,BOCL N2702,SEHK
04505,1000142201,SUN EXP N2703,SEHK
04507,58831,CNOOC F11 N4101,SEHK
04508,1000215657,CISI FIN B2702,SEHK
00370,724,HK ROBOTICS,SEHK
03700,190682,INKEVERSE,SEHK
03708,117416,CH SUPPLY CHAIN,SEHK
03709,108081,EEKA FASHION,SEHK
40000,1000011007,JOY TREA B2909,SEHK
40001,1000208988,CCB N2611C,SEHK
40002,1000281725,CINDA20 N3011,SEHK
40003,1000282276,INV GI N2711,SEHK
40004,1000282277,INV GI N2811,SEHK
40005,1000282662,CR LAND N2811,SEHK
40006,1000282663,FE HORI N2711,SEHK
40007,1000011469,GRNL GLB N2909,SEHK
40008,1000282850,BOCL N2811,SEHK
00380,762,CHINA PIPE,SEHK
03800,19503,GCL TECH,SEHK
03808,19826,SINOTRUK,SEHK
00440,879,DAH SING,SEHK
